Product Name,Size,Milk,Whip,Serving Size,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Dietary Fiber (g),Sugar (g),Protein (g),Vitamin A (%DV),Vitamin C (%DV),Calcium (%DV),Iron (%DV),Caffeine (mg),Type
Cappuccino,Short,2%,N/A,236 mL,80,3,1.5,0.1,10,70,8,0,7,5,8%,0%,15%,0%,75,Espresso
Cappuccino,Short,Whole,N/A,236 mL,90,4.5,2.5,0.1,15,60,8,0,7,5,6%,0%,15%,0%,75,Espresso
Cappuccino,Short,Soy,N/A,236 mL,50,1.5,0.2,0,0,40,4,0,3,3,4%,0%,10%,6%,75,Espresso
Cappuccino,Short,Coconut,N/A,236 mL,70,4,4,0,0,75,7,0,6,1,0%,0%,0%,0%,75,Espresso
Cappuccino,Tall,Nonfat,N/A,354 mL,60,0.1,0.1,0,5,70,9,0,8,6,10%,0%,20%,0%,75,Espresso
Cappuccino,Tall,2%,N/A,354 mL,90,3.5,1.5,0.1,15,80,9,0,8,6,10%,0%,20%,0%,75,Espresso
Cappuccino,Tall,Whole,N/A,354 mL,110,6,3,0.2,15,75,9,0,8,6,8%,0%,20%,0%,75,Espresso
Cappuccino,Tall,Soy,N/A,354 mL,70,3,0.4,0,0,65,7,1,4,5,6%,0%,20%,8%,75,Espresso
Cappuccino,Tall,Coconut,N/A,354 mL,100,6,6,0,0,115,11,0,9,1,0%,0%,0%,0%,75,Espresso
Cappuccino,Grande,Nonfat,N/A,473 mL,80,0.2,0.1,0,5,90,12,0,10,8,15%,0%,25%,0%,150,Espresso
Cappuccino,Grande,2%,N/A,473 mL,120,4,2,0.1,15,100,12,0,10,8,10%,0%,25%,0%,150,Espresso
Cappuccino,Grande,Whole,N/A,473 mL,140,7,4,0.2,20,90,12,0,10,7,10%,0%,20%,0%,150,Espresso
Cappuccino,Grande,Soy,N/A,473 mL,100,3.5,0.4,0,0,80,9,1,5,7,8%,0%,25%,10%,150,Espresso
Cappuccino,Grande,Coconut,N/A,473 mL,130,8,8,0,0,150,14,0,12,1,0%,0%,0%,0%,150,Espresso
Cappuccino,Venti®,Nonfat,N/A,591 mL,110,0.2,0.2,0,5,120,16,0,14,10,20%,0%,30%,0%,150,Espresso
Cappuccino,Venti®,2%,N/A,591 mL,150,6,3,0.2,25,135,16,0,14,10,15%,0%,30%,0%,150,Espresso
Cappuccino,Venti®,Whole,N/A,591 mL,190,9,5,0.3,30,125,16,0,14,10,15%,0%,30%,0%,150,Espresso
Cappuccino,Venti®,Soy,N/A,591 mL,120,4.5,0.5,0,0,110,11,1,7,9,10%,0%,35%,15%,150,Espresso
Cappuccino,Venti®,Coconut,N/A,591 mL,170,10,10,0,0,190,18,0,15,2,0%,0%,0%,0%,150,Espresso
Caramel Macchiato,Short,Nonfat,N/A,236 mL,100,1,0.5,0,5,70,16,0,15,5,10%,0%,15%,0%,75,Espresso
Caramel Macchiato,Short,2%,N/A,236 mL,120,4,2.5,0.1,15,80,16,0,15,5,10%,0%,15%,0%,75,Espresso
Caramel Macchiato,Short,Whole,N/A,236 mL,140,6,3.5,0.1,20,70,16,0,15,5,8%,0%,15%,0%,75,Espresso
Caramel Macchiato,Short,Soy,N/A,236 mL,100,3,1,0,0,60,14,1,11,4,6%,0%,15%,8%,75,Espresso
Caramel Macchiato,Short,Coconut,N/A,236 mL,100,4,3.5,0,0,70,14,0,13,1,0%,0%,0%,0%,75,Espresso
Caramel Macchiato,Tall,Nonfat,N/A,354 mL,150,1.5,1,0,10,105,27,0,25,8,15%,0%,25%,0%,75,Espresso
Caramel Macchiato,Tall,2%,N/A,354 mL,190,6,3.5,0.2,20,120,26,0,25,8,15%,0%,25%,0%,75,Espresso
Caramel Macchiato,Tall,Whole,N/A,354 mL,210,9,5,0.2,25,110,26,0,25,8,10%,0%,25%,0%,75,Espresso
Caramel Macchiato,Tall,Soy,N/A,354 mL,160,4.5,1,0,5,95,22,1,19,6,10%,0%,25%,10%,75,Espresso
